mid,mname,comments_num,per_capita_con,taste,environment,service,phone,address,details
1, MONDOLI ,6189,43,8.2,8.3,8.1, 18919578820 19938172541 , 天仙桥南路8号附10号 ,https://www.dianping.com/shop/k64ejSDGPw5Vqu0E
2, 马旺子(太古里店) ,24171,140,8.2,8.6,8.4, 028-64231923 , 东糠市街1号 ,https://www.dianping.com/shop/ivbjaqnpAdOCsiY4
3, 厘途·LittleTravel(猛追湾店) ,4109,47,8,8.1,8, 15158549689 18190826169 , 双桥子街道滨河路20号 ,https://www.dianping.com/shop/l4qCz8acyfI8M0ZM
4, SEWING MACHINE ,3884,20,8.2,7.8,8.1,13814891185, 双桥路151号附3号 ,https://www.dianping.com/shop/H9fznm01qrMm99eO
5, 饕林餐厅(春熙路店) ,26774,75,8.9,8.8,9,17360015857, 学道街81号中电大厦1楼 ,https://www.dianping.com/shop/G41gaJfqGBICtiVY
6, HYGGE Life·来福 ,4277,96,8.2,8.5,8.3, 18282595892 17380090638 , 芳华街25号附10号 ,https://www.dianping.com/shop/GafxmUxMY8tQKR9P
7, 长颈鹿Giraffe ,678,76,8.1,8.2,8.3, 17713605472 17713606554 , 芳草东街63号 ,https://www.dianping.com/shop/G996XdATUp8aIXia
8, 城墙边私房菜(宝瓶巷店) ,1782,60,8.4,8.3,8.4,18011511767, 灌口街道宝瓶巷48-49号（宝瓶巷旁边的城墙巷子） ,https://www.dianping.com/shop/H8musShGdSiRuGaL
9, The bon House李本家(玉林生活广场店) ,6276,63,8.2,8,8.4, 028-86740322 , 玉林南路15号玉林生活广场1楼（1号电梯旁） ,https://www.dianping.com/shop/k3F3mf6nuwVajFaW
10, 常识咖啡common sense(春熙路店) ,3170,26,8.3,8.2,8.4, 028-67831918 , 华兴东街4号 ,https://www.dianping.com/shop/irKop4LiLQFLFhUo
11, 和幸(春熙路群光广场店) ,13423,82,8.2,8.3,8.3, 028-86662616 , 春熙路南段8号群光广场8楼 ,https://www.dianping.com/shop/l298M1DDkIDspN7s
12, 無早小食 ,5069,86,8.2,8.5,8.3,18080150921, 青莲上街5号附2号 ,https://www.dianping.com/shop/H3DeKhRHOo0httzM
13, 成都吃客(奎星楼店) ,17025,51,8.3,7.8,8.2, 028-86693617 18113177841 , 奎星楼街10号附3号 ,https://www.dianping.com/shop/jsWjiE6Ke7d4vBOO
14, 饕林餐厅(武侯祠店) ,13025,75,9,9,9.1, 028-81582999 19108207757 , 浆洗街15号附5号浆西荟商场2楼 ,https://www.dianping.com/shop/H2FMjQzYwVeDI5Si
15, 巴蜀大宅门火锅(北门大桥店) ,8672,70,8.5,8.3,8.4, 028-86920870 , 草市街街道北大街91号(近四川书市) ,https://www.dianping.com/shop/Fsi1jpQfkYonVjaz
16, 芙蓉凰花园酒楼 ,6178,119,8,7.9,7.7, 028-87346868 , 光华村街66号附16-17号 ,https://www.dianping.com/shop/k7yhr2NklVtq2osk
17, 组织向南 ,5105,98,8.2,7.9,8.3,13281128182, 万象南路669号象南里1栋209、210、211、224号 ,https://www.dianping.com/shop/FjBUdw3NObgSzx5W
18, 冒椒火辣(奎星楼街店) ,24026,70,8.1,7.7,7.8,18190766158, 奎星楼街33号（近宽窄巷子） ,https://www.dianping.com/shop/l8xwcd1xbMBOSnNH
19, 陶德砂锅(双楠店) ,8467,62,9,8.9,9.1, 028-85086669 , 置信路3号 ,https://www.dianping.com/shop/k5QKVg89HDrFwBcq
20, Lian尚莲越泰料理(太古里店) ,5867,215,8.6,8.9,8.7, 028-81134838 , 中纱帽街8号成都远洋太古里25栋2层2320号商铺 ,https://www.dianping.com/shop/l5RQ2GrQI9CSAqXI
21, La Terre乐田(仁和新城店) ,4984,105,8.9,9.1,9.1, 028-86666609 , 府城大道西段505号仁和新城购物中心B座1楼151号（唐宫楼下） ,https://www.dianping.com/shop/imzWz4YCzl2yeJCx
22, 玥轩YUE HIN(IFS国际金融中心店) ,7717,303,8.7,9,8.9,19980703556, 红星路三段1号成都国际金融中心成都尼依格罗酒店2楼 ,https://www.dianping.com/shop/G8qOcCTilM0ViPl0
23, 画厨CAFE(川大店) ,6051,73,8.3,8.8,8.7, 028-86272713 , 科华街5号附1号【近蓝色加勒比广场】 ,https://www.dianping.com/shop/G9J8JH3cjFKQZWDW
24, 钦善斋·养生膳食(武侯祠店) ,9260,105,8.2,8.3,8.2, 028-85053333 , 武侯祠大街247号（成都武侯祠博物馆西南80米处） ,https://www.dianping.com/shop/l4tBn5fFXTFOueuN
25, 比萨先生PIZZAMAN ,5377,93,8.3,8.4,8.6,13699000351, 吉祥街33号附6号 ,https://www.dianping.com/shop/H6EaJrQUHbHTgwHK
26, 凛火烧鸟酒场(高新店) ,4649,142,8.3,8.7,8.9, 028-81717737 13398319713 , 天府二街建发鹭洲里A区周大福门口观光电梯上四楼 ,https://www.dianping.com/shop/l7g4HVtZrvgtzuDG
27, Wehouse维豪斯西餐(银泰中心in99店) ,15622,139,8.2,8.6,8.2,18482327989, 天府大道北段1199号银泰中心in997层718号 ,https://www.dianping.com/shop/H8HocHcu3TQOqIza
28, 陶德砂锅(营门口店) ,10570,61,9.1,9.1,9.2, 028-83359998 , 一环路西三段279号昭艺大厦一楼（四川省文化馆旁） ,https://www.dianping.com/shop/k1WoixJStTEHea6k
29, 都氏二当家(ifs旗舰店) ,8963,156,8.8,9.1,9, 028-86780088 , 红星路三段1号IFS国际金融中心7楼L706号 ,https://www.dianping.com/shop/k3aewPVcInNmn3ZB
30, 薛涛院子里·中餐茶艺(三圣乡店) ,1537,216,8.3,8.9,8.2, 028-84778488 19940822086 , 三圣乡幸福梅林幸福西路路口 ,https://www.dianping.com/shop/l8sMqld0c0ldiUgw
31, 都氏二当家(仁和新城店) ,7450,148,8.4,9,8.4, 028-85311188 , 府城大道西段505号仁和新城5楼519号(地铁五号线C2出口/市一医院对面)（电影院旁） ,https://www.dianping.com/shop/G1TWUdpFIhvYOPbO
32, 云门·兰亭(太古里店) ,2192,188,8.9,9,9.1, 18181985801 18181981561 , 东风路29号未来中心商场5楼（商场二号门观光电梯直达） ,https://www.dianping.com/shop/k4YMoyID0ZLJKHjG
33, 御苑精品川菜馆(锦江店) ,2457,98,9.1,9,9.1, 028-84547999 028-84515666 , 龙舟路秀城大厦2楼59号附1号 ,https://www.dianping.com/shop/k76z2vHK0CvzO5jd
34, Kevin's Laboratory(电子科大店) ,1204,96,8.7,8.8,8.9,13308219279, 天骄路龙湖时代天街15栋102（马路背面） ,https://www.dianping.com/shop/G3pk3iTfyd3WSzFB
35, 辛厨房 ,1956,180,8.7,8.4,8.7, 18190882790 028-83413003 , 高远一路15号7322创意园区B12 ,https://www.dianping.com/shop/l5ANIqHPG4rZ61b9
36, 将军府壹号·鸡毛店(人民公园店) ,8865,76,9,9,9.1,17828145188, 将军街1号达州宾馆二楼 ,https://www.dianping.com/shop/Ga9V6oirUkZUmioT
37, 蓉和妈妈菜·巴山蜀水(双流锦镇店) ,3104,68,8.2,8.3,8.2, 028-61909988 028-85696688 , 航鹰东路86-112号（锦镇香墅29栋底商） ,https://www.dianping.com/shop/G6jKMr2k9JhtZUw5
38, 鸡毛店·川菜(玉林店) ,9243,71,8.8,8.6,8.5, 028-85225882 18180816105 , 玉林西路167号玉林新天地广场1楼 ,https://www.dianping.com/shop/G38M0bohnoLO2bOH
39, RawHeart Brunch&Bistro(太古里店) ,3147,99,8.2,8.4,8.3, 028-84730030 18161280791 , 双桥子街道滨河路50号/望平街145号 ,https://www.dianping.com/shop/H4oHSOGOblg8KTSp
40, FIELDS AVANT 十域·臻选(悠方店) ,3587,197,8.3,9,8.5, 028-61555477 , 交子大道300号悠方购物中心6层613 ,https://www.dianping.com/shop/l9sdLz4u0MQX1Snu
41, 23 TWENTY THREE EATERY ,1260,53,8.8,8.4,8.9, 19102661129 19381627891 , 交子大道500号誉峰遇见B座B-135号 ,https://www.dianping.com/shop/laNKNPpRSVIT8Rrc
42, 曼奈·肉桂厨房(光华店) ,9378,70,8.7,8.2,8.4,19938017380, 群宁街10号 ,https://www.dianping.com/shop/laH4CdgfZy6Rzwek
43, Tivano意大利餐厅(笔帖式街店) ,3765,522,8.3,9.1,9, 028-62974190 , 锦官驿街道笔帖式街81号博舍酒店负一楼(春熙路太古里内) ,https://www.dianping.com/shop/k9p9rL4kvOHA802P
44, 堂前燕·川菜 ,3744,65,9.1,8.8,9,13032824400, 浆洗街29号万里号一楼 ,https://www.dianping.com/shop/kahGsNWbEqMMjQOZ
45, 龙翔山庄雷鸡肉(青城山店) ,8830,83,9.1,9.1,9.2,13699011077, 青城后山泰安古镇 ,https://www.dianping.com/shop/k2VORyUK1encpAx0
46, 五里关火锅(五里墩店) ,13169,105,9,8.4,9,17340065879, 营康路4号附1号 ,https://www.dianping.com/shop/k3Sw9XK6N3MWSFOu
47, Muben末本意大利餐厅·臻选(大悦城店) ,4591,166,8.6,9,9.1, 028-66328466 , 大悦路大悦城商场一楼一号门旁边30米处（不进商场，面对1号门右手边） ,https://www.dianping.com/shop/l3t4436qabPtmzKe
48, 川西坝子火锅(清江东路3.0直营店) ,15785,115,8.9,9,9, 028-87799517 4000517517 , 清江东路8号附46号-48号 ,https://www.dianping.com/shop/k64VdfqXOY1aETCw
49, 园里火锅(府城大道店) ,7874,165,8.3,9.1,8.6, 028-85939393 028-85980398 , 府城大道西段505号仁和春天国际广场C座3层（近地铁5号线市一医院站C2口） ,https://www.dianping.com/shop/l2g0kxUJRpV1bdZr
50, 冒椒火辣(太古里店) ,11167,72,8.1,7.9,8,13551178919, 惜字宫南街4号3栋附1号 ,https://www.dianping.com/shop/l9bkKQuEKLnfCU7a
51, 拾谷西餐(天府三街店) ,4060,110,8.6,9.1,9, 17711098997 028-86698699 , 天府三街88号大源中心一幢2层201室 ,https://www.dianping.com/shop/l1BxE8FHoMksWhml
52, 么哈(科华北路店) ,8079,66,8.3,8.3,8.3, 028-67643876 17345012075 , 科华北路60号SOHO沸城B座2层201号 ,https://www.dianping.com/shop/G2oydra7XS5M2Itb
53, Kitchen偲厨 ,1495,664,8.1,8.5,8.5, 028-85599677 , 交子大道悠方购物中心2楼201号 ,https://www.dianping.com/shop/k2xaZo6jFnfV9UeS
54, 隐家炭火烧鸟(太古里店) ,6110,111,8.3,8.3,8.6, 028-84747028 18708170320 , 望平街25号香香巷内 ,https://www.dianping.com/shop/k6lR3t31UAZsrFOV
55, 野营烤肉韩国料理OUTDOOR BBQ(总店) ,1565,88,8.4,8.2,8.7, 15928447702 18682757003 , 西大街84号金色夏威夷1楼150号 ,https://www.dianping.com/shop/k7hF9YqPTI7FvtVw
56, Molee·泰府(东郊店) ,1514,148,7.9,8,8, 028-80197423 , 建设南路东郊记忆东大门36栋 ,https://www.dianping.com/shop/H2NQUuyqRPpNkbuo
57, 蜀锦嬉自助餐厅(成都首座万豪酒店) ,5788,123,8.5,9.1,9, 028-80647755 , 锦晖东街与天府大道北段交叉口东北角999号首座万豪酒店5层 ,https://www.dianping.com/shop/H58WumSXE7IHEzAk
58, 锦城印象火锅(彩虹店) ,8423,153,8.5,8.4,8.4, 18081109421 18081109422 , 武侯祠大街19号(近彩虹桥头) ,https://www.dianping.com/shop/l4kANcTkfQRq74xR
59, 鸡毛店·川菜(东郊记忆店) ,6456,70,9,9,9.1,13540182201, 建设南路93号附1号东郊记忆北大门公交站处 ,https://www.dianping.com/shop/l9GeeTkxva7AuZ1Z
60, 转转会(会展店) ,5072,127,8.1,8.5,7.9, 028-85381999 028-85381111 , 世纪城路198号附5956号（1号展馆对面） ,https://www.dianping.com/shop/G3hXrToxhaKEAOLc
61, 嘉州叶婆婆钵钵鸡(太古里店) ,24696,57,8.1,8.2,8.1,18280451300, 油篓街68号（成都太古里亚朵S酒店对面） ,https://www.dianping.com/shop/k3IBGStOHIexCW4x
62, 瓦库36号(东郊记忆万科天荟店) ,2176,203,8.7,9,8.8, 028-81707878 , 杉板桥路天荟万科广场1栋7单元2楼1号 ,https://www.dianping.com/shop/H5RZxXHBfggILr1U
63, 蜀大侠火锅(春熙店) ,16556,103,8.7,8.6,8.4, 028-87666679 , 东大街上东大街段春南商场2楼 ,https://www.dianping.com/shop/H5ixCeYIPD3EpnPo
64, 卢记正街饭店·川湘菜 ,11438,104,8.2,8.3,8.5, 028-85533966 15928875587 , 玉洁巷1号 ,https://www.dianping.com/shop/k5KW5uE8N9CTVPJe
65, 悦百味·品质川菜(UPARK公园店) ,4376,138,8.9,9,8.8, 028-83663344 028-83666868 , 富华北路666号UPARK公园B栋2层208号 ,https://www.dianping.com/shop/H1hCajNRporbvNec
66, 俏媳妇火锅(宽窄巷子店) ,7716,108,8.5,8.5,8.4, 028-61679658 , 支矶石街28号成都画院对面 ,https://www.dianping.com/shop/G9ByheapjDbCO8PV
67, 大龙燚火锅HOYO店(太古里店) ,14053,100,8.6,8.5,8.6, 028-61190606 , 东大街下东大街段166号二层 ,https://www.dianping.com/shop/H2jZNYuEaNx8FmMj
68, 吼堂老火锅(太古里总店) ,21948,125,8.9,8.9,8.8, 028-62103858 , 东大街下东大街段166号1-3层 ,https://www.dianping.com/shop/H5c6esTxYAXFY32C
69, Mr·Fish鱼鲜生海鲜放题(银泰in99店) ,10768,384,7.7,8,7.8, 028-61282216 028-62566825 , 天府大道北段1199号成都银泰中心in99L6层612号 ,https://www.dianping.com/shop/k2xKMuiYDg7EMwFE
70, 陶德砂锅(蜀汉路店) ,16918,63,9,8.8,9.1, 028-83518889 , 蜀汉路494号附2号 ,https://www.dianping.com/shop/H7SV1G058P7Ucrr6
71, 廊桥THE BRIDGE ,4078,705,8.3,9,8.8, 028-84446888 028-84443888 , 锦官驿街道滨江东路66号(近香格里拉酒店) ,https://www.dianping.com/shop/H4jkYSw4PX3K0DuR
72, Vito’s Thai Restaurant ,811,151,9.1,8.4,9, 18428091618 19302810763 , 桐梓林路3号附9-10号1层 ,https://www.dianping.com/shop/iWsw88y4MU7askR9
73, 脍脍料理(祥和里店) ,4034,193,8.2,7.6,7.9, 028-83290975 , 一环路东三段祥和里253号 ,https://www.dianping.com/shop/l6YXx2N1sp01gPY2
74, 如在蜀毛肚火锅(春熙路店) ,7128,90,9,8.9,8.8, 028-87397933 , 东大街上东大街段246号1层 ,https://www.dianping.com/shop/l4h65kSU5Jglj5WF
75, 盡膳口福跷脚牛肉火锅(科华北路店) ,10134,108,8.6,8.6,8.6,18980479951," 科华北路50号（川大望江校区地铁站D口出来往一环路磨子桥方向步行300米,川大西门天桥正对面） ",https://www.dianping.com/shop/G8bxiBfdbZjq36PZ
76, 山海烧肉(铁像寺路店) ,2732,198,9.1,9.1,9.1, 028-61812444 , 铁象寺路169号 ,https://www.dianping.com/shop/k2xrPOisZ8zLbfKc
77, 竹涟烧肉(太古里店) ,8593,112,8.8,8.7,8.5, 17736839178 028-85920112 , 东大街下东大街段66号崇德里国际社区内 ,https://www.dianping.com/shop/kazFYgPJsqxVQoAK
78, BURANO布拉诺西餐(金牛凯德店) ,1972,95,8.9,8.6,8.8, 028-61391199 , 交大路183号凯德广场·金牛F5层 ,https://www.dianping.com/shop/ka5zmLkV2Bmfhpwr
79, 饭团匠·料理小食堂(镋钯街店) ,3065,74,8.6,8.2,8.4,18328850711, 镋钯街67号1楼 ,https://www.dianping.com/shop/Ga16Tpa9besTchOq
80, 将军府壹号·鸡毛店(紫荆店) ,3615,68,9.1,9.1,9.2,15184355322, 紫薇东路76、78号（神仙树地铁站F出口东南200米） ,https://www.dianping.com/shop/l4yAOROObISwa6sa
81, 鸡毛店·川菜(李家沱店) ,7164,64,8.7,8.4,8.4,18121866618, 二环路北四段9号高车一路汇融名城D区 ,https://www.dianping.com/shop/GadS1eObAF5rHrcl
82, 赤宴(玉林店) ,5024,62,9,8.8,9, 028-87526556 17380420276 , 兴蓉东巷12-14号 ,https://www.dianping.com/shop/k4kl2PVXmVXEBRl4
83, 首尔朴宝·炭火烤肉(金沙店) ,4323,106,8.7,8.5,9, 028-86636672 028-86637892 , 金沙街道金阳路21号一楼（地铁7号线金沙博物馆D出口向西80米） ,https://www.dianping.com/shop/kaHLXLSmWXEktLoN
84, 8号火锅中餐厅(成都群光君悦酒店) ,3892,424,8.8,9.1,9, 028-66661234 , 春熙路南段8号成都群光君悦酒店16层 ,https://www.dianping.com/shop/H48Y1Ev8nEewsDaL
85, 老街小牛·坨坨牛肉串串(清江东路店) ,4284,81,8.2,8.1,8.2,17721870807, 清江东路8号附24 ,https://www.dianping.com/shop/G9rQI8QmTZWHxdtC
86, 乐山胖哥跷脚牛肉(东风路总店) ,7252,61,8.9,8.1,8.5, 18160017173 13890674901 , 东风路北一巷新1号附10号 ,https://www.dianping.com/shop/k9mXb2dGHETBGNTa
87, 小龙翻大江文化火锅(宽窄店) ,16228,160,8.4,9.1,8.4, 028-86648888 18180596999 , 窄巷子28号 ,https://www.dianping.com/shop/l5GivtW5qNWgA3Vq
88, 龙山烧肉(万象城店) ,9989,106,8.1,8.1,7.9, 028-81306778 , 双林中横路79号 ,https://www.dianping.com/shop/G86uHqJDbE1biy7n
89, 漫度时光餐厅·宝宝宴·婚礼·求婚·生日·团建会议(三圣乡店) ,783,115,8.6,9,8.6, 15802827787 19180757787 , 幸福梅林幸福路9号 ,https://www.dianping.com/shop/H5UkcxxVcSu9i91p
90, 红辣椒·川菜·火锅(科华路店) ,5902,99,8.7,8.9,9.1, 028-86750196 18919576836 , 长荣路56号泛悦国际3号楼2层2-6号铺(近科华中路) ,https://www.dianping.com/shop/G6E0VxV0sWQtWw0A
91, 红墙记忆·川味小馆 ,2526,78,8.8,8.4,8.8,15928814230, 长顺下街红墙巷19号附7号 ,https://www.dianping.com/shop/H2VR10ovajbh0cdo
92, 匠和风精致料理(悠方店) ,7721,287,8.9,8.9,9, 028-65471188 , 交子大道悠方购物中心五楼L536 ,https://www.dianping.com/shop/k3kwhdMwORkyj10R
93, 一个勺子新疆锡伯主题私房菜(红墙巷49号院店) ,2348,94,8.3,8.4,8.2,13678154334, 长顺下街红墙巷49号附8号 ,https://www.dianping.com/shop/k7BqgzCgIf8Rry9b
94, 隐庐·古法川菜(高新店) ,1085,391,8.3,8.5,8.7, 028-65777137 , 盛兴街57号隐庐酒店一楼 ,https://www.dianping.com/shop/k4VE3KNfmCj5BT8k
95, 希尔顿嘉悦里?TC CAFE 御蓉高空餐厅 ,2414,239,8.4,9.1,9, 028-65216666 , 西御街5号成都领地希尔顿嘉悦里酒店31层 ,https://www.dianping.com/shop/j4VDu0PvYDxkcVL0
96, 眷蜀冰社·手工冰粉 ,4263,13,8.1,8,8.1,18428027190, 奎星楼街23号附1号 ,https://www.dianping.com/shop/l1n79MgiscAOVJ1r
97, 不二·民谣音乐餐酒吧(九眼桥店) ,4369,136,8.4,8.8,8.3, 15756378334 028-85066866 , 丝管路66号 ,https://www.dianping.com/shop/H8W2IiFDGZcLjfAn
98, 花吃嘴儿麻辣烫 ,5455,75,8.2,7.9,8, 13551355865 18080885777 , 望平街78号 ,https://www.dianping.com/shop/H3feNvuVW2UNAGkU
99, 牛房Beefun餐酒馆 ,879,408,8.9,8.9,9.1, 18140211819 15108236718 , 滨江东路172号附8号 ,https://www.dianping.com/shop/k2WxboyzvsLkDyp9
100, 张七贵的芋儿肥肠鸡(三瓦窑长乐佳苑店) ,2290,86,8.2,7.8,8.3,15008259043, 三瓦窑街三瓦窑商业街3楼304-306号 ,https://www.dianping.com/shop/k66o14DWsZEgNCQ8
101, 蜀九香火锅(新会展Art店) ,3045,164,8.2,8.3,8.2, 028-85330080 , 世纪城路166号西蜀廊桥3栋（近洲际大酒店） ,https://www.dianping.com/shop/G9K12RH2YhEdJjGc
102, 老房子华粹元年花园餐厅(天府三街店) ,1462,305,8.3,9,8.8, 028-87358822 , 天府三街888号（大源中央公园南区商业） ,https://www.dianping.com/shop/l5L0AK4DlSOrF0Su
103, 老龙亭拉面店 ,4258,65,8.8,8.1,9,15982241929, 东大街蓝光郁金香广场一楼最里面（下东大街36号附12号） ,https://www.dianping.com/shop/l1fElThLjFX8DQUf
104, 集渔·泰式海鲜火锅(太古里晶融汇店) ,18803,133,8.4,8.5,8.4, 17781673243 17781675480 , 东大街下东大街段169号（晶融汇二期一楼） ,https://www.dianping.com/shop/G1BhUfx1lUvoTP7h
105, 半边面馆(春熙路店) ,2431,15,8.2,8,8.3,15692882292, 新半边街6号附11号（雷影照像馆对面） ,https://www.dianping.com/shop/H5xJPCAjo7cmEhXe
106, 悦哉·派对·草坪婚礼·围炉煮茶(三圣乡店) ,1097,120,8.3,8.7,8.3,19938159319, 幸福梅林景区幸福路53号 ,https://www.dianping.com/shop/l9AO3J17Cb1zIiGr
107, 如在蜀毛肚火锅(玉林店) ,6454,87,9,8.9,9, 028-85222098 , 玉林南路15号玉林生活广场一楼 ,https://www.dianping.com/shop/l2ZjYDzqoBu1ZPrk
108, 鳗满·活烤鳗鱼专门店(成都桐梓林店) ,6611,104,8.4,8.3,8.6,19182030779, 人民南路四段46号附27号上善国际一楼 ,https://www.dianping.com/shop/G3vVhshmRO0nunQV
109, 海底捞火锅(凯德天府店) ,3057,113,9,9,9, 028-85312936 028-85312736 , 天仁路388号凯德天府6层17-18号 ,https://www.dianping.com/shop/G8sjlD1a0wO2d42e
110, 正反面(总店) ,5165,26,8.1,8.3,8.2, 028-87778477 17780677707 , 光华村街66号附3号1栋1层 ,https://www.dianping.com/shop/G4vbPqXPVrRTZHso
111, S+steak house炭烤熟成牛排馆(保利店) ,2277,312,9,8.5,8.8, 028-85091776 18980456302 , 锦绣路保利中心写字楼A座3楼310室（停车注意事项:保利中心东区A座地下停车场3栋1号电梯2号电梯均可） ,https://www.dianping.com/shop/k55ACVPn9LMv2Fo2
112, 成都宴(桐梓林店) ,2981,1000,8.4,9,8.9, 028-83389691 87793992 ," 人民南路四段46号上善国际北二层（为了更好的服务您,请您致电或微信联系客服xy504884514提前安排） ",https://www.dianping.com/shop/GaPet7x1SgKgfZLg
113, 川西坝子火锅(金沙1.0直营店) ,10055,117,8.6,8.8,8.8, 028-87622517 4000517517 , 黄苑街6号 ,https://www.dianping.com/shop/kaND1F9jOB9CTtWx
114, 生如夏花泰式火锅(龙湖西宸店) ,7723,120,8.9,9,8.9, 028-63918291 , 中环路一品天下大街段首开·龙湖成都西宸天街购物中心5楼03号（近地铁7号线茶店子站C口） ,https://www.dianping.com/shop/G3ntaT5YDvlxBvzx
115, 小東家一骨香(电子科大店) ,3819,43,8.6,8.1,8.3, 19940598371 028-67579311 , 建设巷14号附32号1楼 ,https://www.dianping.com/shop/l41V9yVKuHni8Sss
116, 张烤鸭·川菜·非遗冒烤鸭(青石桥店) ,10824,74,8.2,8.1,8.2, 028-86665833 , 古卧龙桥街青石桥室内农贸市场第3层1号 ,https://www.dianping.com/shop/k5gBO4MZ4ojosDQh
117, YUMWONG彦火蛋糕 ,1279,213,8.9,8.6,8.7, 19138978346 18180598379 , 紫竹中街65号 ,https://www.dianping.com/shop/HadV1FHMjmjWPO8i
118, 华道钰善阁 ,2253,342,8.2,9.1,8.7, 028-85122888 , 铁像寺路88号16栋1-8号楼 ,https://www.dianping.com/shop/G2FVYdlhNNGhKKRs
119, 雍容荟帝王蟹波龙海鲜盛宴(苏宁奥莱店) ,10183,467,8.2,8.3,8.4, 028-85805999 18010639999 , 天府大道北段8号苏宁广场城市奥特莱斯5楼509号 ,https://www.dianping.com/shop/G7awDXjiJEiS5FD0
120, 南山木槿韩国料理·烤肉(芳草街店) ,4215,83,8.3,8.3,9, 028-65777367 , 芳草街4号附6号 ,https://www.dianping.com/shop/H3SGKgthlkrWhBx6
121, 椰妹·椰子鸡火锅(武侯大悦城店) ,7656,89,8.3,8.4,8.4, 028-85312712 , 大悦路518号成都大悦城4楼23号铺（地铁3号线川藏立交站D出口） ,https://www.dianping.com/shop/H2cOe3vqLT20uXAO
122, 集渔·泰式海鲜火锅(科华店) ,13375,127,8.3,8.4,8.5,17311375560, 跳伞塔街道锦绣路36号2楼（川大望江校区地铁站B出口） ,https://www.dianping.com/shop/G6HeY6GCfGrk8XI8
123, inns·隐是 餐吧 ,5166,194,8.5,8.9,8.9,19980514047, 人民南路四段上善国际北区负1层（近地铁1号线桐梓林站B口） ,https://www.dianping.com/shop/l5LVV4zEiWUHQMBx
124, 加饮PlusIn咖啡(太古里店) ,3697,24,8.1,8,8.2,19113104626, 东大街下东大街段88号 ,https://www.dianping.com/shop/G95opQz2TULQoQu7
125, 龙森园火锅(琴台路店) ,9168,193,8.2,8.3,8.3,13908049914, 少城街道琴台路60号 ,https://www.dianping.com/shop/kaaDbniEYgc3JC9l
126, 朴田泰式火锅(中粮鸿云悦街店) ,6220,147,9,9.1,8.9, 028-86525926 , 汇源北路333号中粮鸿云悦街3楼 ,https://www.dianping.com/shop/ipscdsbbCzQN5wDs
127, 凛火炭火烧鸟酒场(桐梓林店) ,3590,216,8.6,8.4,9, 028-65224168 15883013953 , 紫薇东路127号（清华坊底商） ,https://www.dianping.com/shop/H1aHdhkb51pd6oXh
128, 茹丝葵经典牛排馆(成都IFS店) ,1272,736,8.4,8.8,9.1, 028-67821188 , 红星路三段1号成都IFS第七层L7048L704LA号商铺 ,https://www.dianping.com/shop/kaacpliB6Legrill
129, 山下人家·土砂锅腊排馆(青城山店) ,2983,62,8.2,8.1,8.2,18081008377, 双钟街6号 ,https://www.dianping.com/shop/H9vW3ECMssu5h432
130, 禅泉冰粉(奎星楼店) ,4552,12,8.2,8.1,8.1,13982244270, 吉祥街8号附4号 ,https://www.dianping.com/shop/G2EHf6wRc7ZAjKgv
